id,card_number,card_name,card_alt,カードタイプ,タグ,レアリティ,色,HP,LIFE,Bloomレベル,バトンタッチ,収録商品,能力テキスト,arts,oshi_skill,sp_oshi_skill,keyword,extra,gift,illustrator,image_url,local_images,release_date
591,hBP03-027,さくらみこ,さくらみこ,ホロメン,#JP #0期生 #ベイビー,C,赤,150,,1st,,ブースターパック「エリートスパーク」,,[◇]エリートな水着　40 | [赤+◇]ぷにち　60,,,,,,おるだん,/wp-content/images/cardlist/hBP03/hBP03-027_C_2.png,hBP03-027_C_2.png;hBP03-027_S_2.png,
592,hBP03-028,さくらみこ,さくらみこ,ホロメン,#JP #0期生 #ベイビー,U,赤,130,,1st,,ブースターパック「エリートスパーク」,,[◇]応援頼んだぞ　30 | [赤+◇]みこぴー！(｀・ω・´)🌸　50,,,,,,,/wp-content/images/cardlist/hBP03/hBP03-028_U.png,hBP03-028_S.png;hBP03-028_U.png,
593,hBP03-029,さくらみこ,さくらみこ,ホロメン,#JP #0期生 #ベイビー,R,赤,130,,1st,,ブースターパック「エリートスパーク」,,[赤+◇]35Pと記念写真　30+,,,"にぇ
自分のデッキから、〈35P〉1枚を公開し、手札に加える。そしてデッキをシャッフルする。",,,おるだん,/wp-content/images/cardlist/hBP03/hBP03-029_R.png,hBP03-029_R.png;hBP03-029_SR.png,
594,hBP03-030,さくらみこ,さくらみこ,ホロメン,#JP #0期生 #ベイビー,RR,赤,200,,2nd,◇,ブースターパック「エリートスパーク」,,[赤+◇+◇+緑+50]エリート巫女　120+,,,"エリートギャンブル
[センターポジション限定][ターンに1回]自分のメインステップで、このホロメンに〈35P〉が付いている時、サイコロを1回振れる：3か5の時、このターンの間、このホロメンのアーツ+50。",,,黒兎,/wp-content/images/cardlist/hBP03/hBP03-030_RR.png,hBP03-030_02_SR.png;hBP03-030_P.png;hBP03-030_RR.png;hBP03-030_SR.png;hBP03-030_UR.png,
595,hBP03-031,赤井はあと,赤井はあと,ホロメン,#JP #1期生 #料理,C,赤,100,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]おはるーじゅ！　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-031_C.png,hBP03-031_C.png;hBP03-031_P.png,
596,hBP03-032,赤井はあと,赤井はあと,ホロメン,#JP #1期生 #料理,C,赤,170,,1st,,ブースターパック「エリートスパーク」,,[赤+◇]おつるーじゅ！　60,,,,,,はる雪,/wp-content/images/cardlist/hBP03/hBP03-032_C.png,hBP03-032_C.png;hBP03-032_S.png,
597,hBP03-033,赤井はあと,赤井はあと,ホロメン,#JP #1期生 #料理,U,赤,120,,1st,◇,ブースターパック「エリートスパーク」,,[◇]はあちゃまっちゃま～！　40,,,"全力でいくぞおおお！
相手のセンターホロメンに特殊ダメージ10を与える。その相手のセンターホロメンにツールが付いている時、かわりに、相手のセンターホロメンに特殊ダメージ30を与える。",,,,/wp-content/images/cardlist/hBP03/hBP03-033_U.png,hBP03-033_S.png;hBP03-033_U.png,
598,hBP03-034,赤井はあと,赤井はあと,Buzzホロメン,#JP #1期生 #料理,RR,赤,240,,1st,◇/◇,ブースターパック「エリートスパーク」,,[赤+◇]レッド オア ルージュ　40+,,,"もう1人のはあと
自分のアーカイブの#1期生を持つBuzz以外の[1stホロメンか2ndホロメン]1枚を手札に戻せる。",このホロメンがダウンした時、自分のライフ-2,,ハナモト,/wp-content/images/cardlist/hBP03/hBP03-034_RR.png,hBP03-034_RR.png;hBP03-034_SR.png;hBP03-034_UR.png,
599,hBP03-035,鷹嶺ルイ,鷹嶺ルイ,Buzzホロメン,#JP #秘密結社holoX #トリ #お酒,R,赤,240,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[赤+◇]challenger　50,,,,このホロメンがダウンした時、自分のライフ-2,,かかげ,/wp-content/images/cardlist/hBP03/hBP03-035_R.png,hBP03-035_R.png;hBP03-035_SR.png,
600,hBP03-036,小鳥遊キアラ,小鳥遊キアラ,ホロメン,#EN #Myth #トリ,R,赤,140,,1st,◇,ブースターパック「エリートスパーク」,,[赤+◇]鋼の翼　50,,,"ハッピータイム
自分のデッキから、〈小鳥遊キアラ〉1～4枚を公開し、アーカイブできる。そしてデッキをシャッフルする。",,,huke,/wp-content/images/cardlist/hBP03/hBP03-036_R.png,hBP03-036_R.png;hBP03-036_SR.png,
601,hBP03-037,モココ・アビスガード,モココ・アビスガード,ホロメン,#EN #Advent #ケモミミ,C,赤,80,,Debut,,ブースターパック「エリートスパーク」,,[◇]フワワじゃないよ、モココだよ　20,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-037_C.png,hBP03-037_C.png;hBP03-037_P.png,
602,hBP03-038,モココ・アビスガード,モココ・アビスガード,ホロメン,#EN #Advent #ケモミミ,C,赤,130,,1st,,ブースターパック「エリートスパーク」,,[◇]モココとドーナツクッキング　30,,,"遊びの時間だー！
DebutからBloomした時、自分のデッキから、1stホロメンの〈フワワ・アビスガード〉1枚を公開し、手札に加える。そしてデッキをシャッフルする。",,,蒼樹うめ,/wp-content/images/cardlist/hBP03/hBP03-038_C.png,hBP03-038_C.png;hBP03-038_S.png,
603,hBP03-039,モココ・アビスガード,モココ・アビスガード,Buzzホロメン,#EN #Advent #ケモミミ,R,赤,240,,1st,◇,ブースターパック「エリートスパーク」,,[赤+青]もこもこしてる方　50+,,,"魔界乃番犬の暴れん坊
自分のリセットステップで、自分のセンターホロメンが〈フワワ・アビスガード〉の時、このホロメンはバックポジションに移動してもお休みしない。",このホロメンがダウンした時、自分のライフ-2,,茶椿,/wp-content/images/cardlist/hBP03/hBP03-039_R.png,hBP03-039_R.png;hBP03-039_SR.png,
604,hBP03-040,フワワ・アビスガード,フワワ・アビスガード,ホロメン,#EN #Advent #ケモミミ,C,青,100,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]チワワじゃないよ、フワワだよ　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-040_C.png,hBP03-040_C.png;hBP03-040_P.png,
605,hBP03-041,フワワ・アビスガード,フワワ・アビスガード,ホロメン,#EN #Advent #ケモミミ,C,青,160,,1st,◇,ブースターパック「エリートスパーク」,,[◇]魔界乃番犬のまとめ役　40 | [青+◇]ふわふわしてる方　60,,,,,,茶椿,/wp-content/images/cardlist/hBP03/hBP03-041_C.png,hBP03-041_C.png;hBP03-041_S.png,
606,hBP03-042,フワワ・アビスガード,フワワ・アビスガード,ホロメン,#EN #Advent #ケモミミ,U,青,140,,1st,◇,ブースターパック「エリートスパーク」,,[◇+◇]フワワと森のお散歩　50,,,"フワ花流水
自分のステージに〈モココ・アビスガード〉がいる時、相手のセンターホロメンかバックホロメン1人に特殊ダメージ20を与える。ただし、ダウンしても相手のライフは減らない。",,,みわべさくら,/wp-content/images/cardlist/hBP03/hBP03-042_U.png,hBP03-042_S.png;hBP03-042_U.png,
607,hBP03-043,フワワ・アビスガード,フワワ・アビスガード,ホロメン,#EN #Advent #ケモミミ,RR,青,190,,2nd,◇/◇,ブースターパック「エリートスパーク」,,[青+紫+50]ドーナツ大好き　60 | [青+赤+◇+紫+50]一緒に食べる？　100,,,,,,茶ちえ,/wp-content/images/cardlist/hBP03/hBP03-043_RR.png,hBP03-043_RR.png;hBP03-043_SR.png;hBP03-043_UR.png,
608,hBP03-044,星街すいせい,星街すいせい,ホロメン,#JP #0期生 #歌,R,青,150,,1st,◇,ブースターパック「エリートスパーク」,,[青+◇]バーチャルゴースト　40,,,"プラネットステージ
自分のデッキの上から4枚を見る。その中から、〈星街すいせい〉1枚を公開し、手札に加える。そして残ったカードを好きな順でデッキの下に戻す。",,,えいひ,/wp-content/images/cardlist/hBP03/hBP03-044_R.png,hBP03-044_R.png;hBP03-044_SR.png,
609,hBP03-045,こぼ・かなえる,こぼ・かなえる,Buzzホロメン,#ID #ID3期生,R,青,230,,1st,◇/◇,ブースターパック「エリートスパーク」,,[青+◇]元気いっぱい！　40+,,,"ブルーレイン
自分の#IDを持つホロメンのエール1枚をアーカイブできる：相手のバックホロメンに特殊ダメージ30を10ずつ割り振って与える。ただし、ダウンしても相手のライフは減らない。",このホロメンがダウンした時、自分のライフ-2,,きな,/wp-content/images/cardlist/hBP03/hBP03-045_R.png,hBP03-045_R.png;hBP03-045_SR.png,
610,hBP03-046,火威青,火威青,ホロメン,#DEV_IS #ReGLOSS #絵,C,青,100,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]可愛い女の子かと思った？　10 | [◇+◇]じゃじゃーん！ 青くんでした。　40,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-046_C.png,hBP03-046_C.png;hBP03-046_P.png,
611,hBP03-047,火威青,火威青,ホロメン,#DEV_IS #ReGLOSS #絵,C,青,170,,1st,◇,ブースターパック「エリートスパーク」,,[青+◇]アフタヌーンティーデートのその後に…　60,,,,,,むっしゅ,/wp-content/images/cardlist/hBP03/hBP03-047_C.png,hBP03-047_C.png;hBP03-047_S.png,
612,hBP03-048,火威青,火威青,ホロメン,#DEV_IS #ReGLOSS #絵,U,青,130,,1st,◇,ブースターパック「エリートスパーク」,,[◇]僕、カッコいいでしょ？　30 | [◇+◇]ReGLOSSのボーイッシュ担当　40,,,,,,,/wp-content/images/cardlist/hBP03/hBP03-048_U.png,hBP03-048_S.png;hBP03-048_U.png,
613,hBP03-049,火威青,火威青,Buzzホロメン,#DEV_IS #ReGLOSS #絵,R,青,230,,1st,◇/◇,ブースターパック「エリートスパーク」,,[青+◇+◇]イケメンにお任せを　50,,,"困ったお姫様たちだね
自分のエールデッキから、自分の#ReGLOSSを持つセンターホロメンと同色のエール1枚を公開し、自分の#ReGLOSSを持つホロメンに送る。そしてエールデッキをシャッフルする。",このホロメンがダウンした時、自分のライフ-2,,Qiu,/wp-content/images/cardlist/hBP03/hBP03-049_R.png,hBP03-049_R.png;hBP03-049_SR.png,
614,hBP03-050,FUWAMOCO,FUWAMOCO,ホロメン,#EN #Advent #ケモミミ,R,青赤,150,,1st,◇,ブースターパック「エリートスパーク」,,[◇+◇]魔界乃番犬シスターズ　40 | [青+赤]2人揃ってFUWAMOCOです！　60,,,,このホロメンは〈フワワ・アビスガード〉〈モココ・アビスガード〉としても扱う,,© 2016 COVER Corp. MariA,/wp-content/images/cardlist/hBP03/hBP03-050_R.png,hBP03-050_R.png;hBP03-050_SR.png,
615,hBP03-051,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,C,紫,110,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]こんやっぴー　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-051_C.png,hBP03-051_C.png;hBP03-051_P.png;hBP03-051_P_02.png,
616,hBP03-052,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,U,紫,80,,Debut,◇,ブースターパック「エリートスパーク」,,[紫]そういう感じなんだ　20,,,,,,秋赤音,/wp-content/images/cardlist/hBP03/hBP03-052_U.png,hBP03-052_S.png;hBP03-052_U.png,
617,hBP03-053,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,C,紫,170,,1st,◇,ブースターパック「エリートスパーク」,,[◇]おつやっぴー　30 | [紫+◇]きゅりん　60,,,,,,Guchico,/wp-content/images/cardlist/hBP03/hBP03-053_C.png,hBP03-053_C.png;hBP03-053_S.png,
618,hBP03-054,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,U,紫,140,,1st,◇,ブースターパック「エリートスパーク」,,[◇]大爆発させちゃうぜ！　30,,,"トワにしか出せない色
相手のセンターホロメンかコラボホロメンに特殊ダメージ20を与える。",,,,/wp-content/images/cardlist/hBP03/hBP03-054_U.png,hBP03-054_S.png;hBP03-054_U.png,
619,hBP03-055,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,R,紫,130,,1st,◇,ブースターパック「エリートスパーク」,,[紫]トワとお家デートしたっていい　40 | [紫+◇]てんQ　50,,,,,,雨傘ゆん,/wp-content/images/cardlist/hBP03/hBP03-055_R.png,hBP03-055_R.png;hBP03-055_SR.png,
620,hBP03-056,常闇トワ,常闇トワ,ホロメン,#JP #4期生 #歌 #シューター,RR,紫,190,,2nd,◇/◇,ブースターパック「エリートスパーク」,,[紫+黄+50]私を縛る固定概念を壊せ　30 | [紫+紫+◇+黄+50]Break your ×××　80,,,,,,Mr.Lime,/wp-content/images/cardlist/hBP03/hBP03-056_RR.png,hBP03-056_RR.png;hBP03-056_SR.png;hBP03-056_UR.png,
621,hBP03-057,ロボ子さん,ロボ子さん,ホロメン,#JP #0期生 #シューター,C,紫,100,,Debut,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇]はろーぼー！　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-057_C.png,hBP03-057_02_C.png;hBP03-057_C.png;hBP03-057_P.png,
622,hBP03-058,ロボ子さん,ロボ子さん,ホロメン,#JP #0期生 #シューター,C,紫,170,,1st,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇]おつろぼー　30 | [紫+◇]いちゃあま彼女　60,,,,,,イコモチ,/wp-content/images/cardlist/hBP03/hBP03-058_C.png,hBP03-058_C.png;hBP03-058_S.png,
623,hBP03-059,ロボ子さん,ロボ子さん,ホロメン,#JP #0期生 #シューター,U,紫,130,,1st,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇]笑顔になーーれっ　40,,,"PONしたらその分
自分のデッキの上から3枚を見る。その中から、#0期生を持つホロメン1枚を公開し、手札に加える。そして残ったカードを好きな順でデッキの下に戻す。",,,,/wp-content/images/cardlist/hBP03/hBP03-059_U.png,hBP03-059_S.png;hBP03-059_U.png,
624,hBP03-060,ロボ子さん,ロボ子さん,ホロメン,#JP #0期生 #シューター,R,紫,200,,2nd,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇+緑+50]自称【高性能】　70+,,,,,,81,/wp-content/images/cardlist/hBP03/hBP03-060_R.png,hBP03-060_R.png;hBP03-060_SR.png,
625,hBP03-061,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,C,黄,120,,Debut,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇]ぉぁよ～　20 | [◇+◇+◇]ゆびゆび～　60,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-061_C.png,hBP03-061_02_C.png;hBP03-061_C.png;hBP03-061_P.png,
626,hBP03-062,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,U,黄,100,,Debut,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄]ご注文はこれだでな　30,,,"ころねダイナー
このホロメンのエール1枚をアーカイブできる：自分のデッキから、#ゲーマーズを持つDebutホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。",,,フカヒレ,/wp-content/images/cardlist/hBP03/hBP03-062_U.png,hBP03-062_S.png;hBP03-062_U.png,
627,hBP03-063,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,C,黄,200,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄]おつころ～ん　30,,,,,,フカヒレ,/wp-content/images/cardlist/hBP03/hBP03-063_C.png,hBP03-063_C.png;hBP03-063_S.png,
628,hBP03-064,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,U,黄,160,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄+◇]ぶるぁあああああ!!!!!!!!!!!!!!　40+ | [◇+◇+◇]おーしぇーい　70,,,,,,,/wp-content/images/cardlist/hBP03/hBP03-064_U.png,hBP03-064_S.png;hBP03-064_U.png,
629,hBP03-065,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,R,黄,150,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇+◇]ほらよ～　30,,,"ボクシングスタイル
[コラボポジション限定]相手のメインステップの間、自分のセンターホロメンの〈戌神ころね〉のHPは相手の能力で減らず、変動しない。",,,フカヒレ,/wp-content/images/cardlist/hBP03/hBP03-065_R.png,hBP03-065_R.png;hBP03-065_SR.png,
630,hBP03-066,戌神ころね,戌神ころね,ホロメン,#JP #ゲーマーズ #ケモミミ,RR,黄,210,,2nd,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄+黄+◇+白+50]最凶天災　120+,,,"わんだふぉ～♡
このホロメンがダウンした時、自分のエールデッキの上から1枚を自分の〈戌神ころね〉に送る。",,,砂利さや(か),/wp-content/images/cardlist/hBP03/hBP03-066_RR.png,hBP03-066_RR.png;hBP03-066_SR.png;hBP03-066_UR.png,
631,hBP03-067,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,C,黄,110,,Debut,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇]こんばんドドド～！　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-067_C.png,hBP03-067_C.png;hBP03-067_P.png,
632,hBP03-068,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,U,黄,90,,Debut,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄]わためのうた　20,,,,,,ふーみ,/wp-content/images/cardlist/hBP03/hBP03-068_U.png,hBP03-068_S.png;hBP03-068_U.png,
633,hBP03-069,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,C,黄,190,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄]癒しのひととき　30 | [◇+◇+◇]応援してくれるよねぇ？　90,,,,,,ふーみ,/wp-content/images/cardlist/hBP03/hBP03-069_C.png,hBP03-069_C.png;hBP03-069_S.png,
634,hBP03-070,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,U,黄,130,,1st,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[◇+◇]最後まで見ててね、わためいと！　30,,,"めいっぱい歌って踊ります！
自分のステージのホロメンが5人以下の時、自分のデッキから、Debutホロメンの〈角巻わため〉1枚を公開し、ステージに出せる。そしてデッキをシャッフルする。",,,,/wp-content/images/cardlist/hBP03/hBP03-070_U.png,hBP03-070_S.png;hBP03-070_U.png,
635,hBP03-071,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,R,黄,160,,1st,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄+◇]つのまきじゃんけん　50,,,"Member sheep おかえり～
自分のアーカイブの〈わためいと〉1枚を手札に戻せる。",,,久蒼穹,/wp-content/images/cardlist/hBP03/hBP03-071_R.png,hBP03-071_R.png;hBP03-071_SR.png,
636,hBP03-072,角巻わため,角巻わため,ホロメン,#JP #4期生 #ケモミミ #歌,RR,黄,200,,2nd,◇/◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「エリートスパーク」,,[黄+◇+◇+青+50]わためぇ Night Fever!!　80+,,,"まだまだいくよー！
このホロメンがダウンした時、このホロメンのエール1枚を、自分の他の〈角巻わため〉に付け替えられる。",,,ふーみ,/wp-content/images/cardlist/hBP03/hBP03-072_RR.png,hBP03-072_RR.png;hBP03-072_SR.png;hBP03-072_UR.png,
637,hBP03-073,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,C,黄,110,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]こんリス　20 | [◇+◇+◇]ぷるぷる～　60,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-073_C.png,hBP03-073_C.png;hBP03-073_P.png,
638,hBP03-074,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,U,黄,80,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]繋がる願い　20+,,,,,,きな,/wp-content/images/cardlist/hBP03/hBP03-074_U.png,hBP03-074_S.png;hBP03-074_U.png,
639,hBP03-075,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,C,黄,170,,1st,◇,ブースターパック「エリートスパーク」,,[◇]おつリスー　30 | [黄+◇+◇]おやすみの思い出　70,,,,,,やとみ,/wp-content/images/cardlist/hBP03/hBP03-075_C.png,hBP03-075_C.png;hBP03-075_S.png,
640,hBP03-076,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,U,黄,150,,1st,◇/◇,ブースターパック「エリートスパーク」,,[◇]ぷるぷる、おつリス！！！　20,,,"いやっほー！ みんな元気？
自分のエールデッキから、[緑エールか黄エール]1枚を公開し、自分のホロメンに送る。そしてエールデッキをシャッフルする。",,,,/wp-content/images/cardlist/hBP03/hBP03-076_U.png,hBP03-076_S.png;hBP03-076_U.png,
641,hBP03-077,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,R,黄,160,,1st,◇/◇,ブースターパック「エリートスパーク」,,[黄+◇]ナッツ　40,,,"同期の絆
自分のステージのホロメンが5人以下の時、自分のデッキから、#ID1期生を持つDebutホロメン1枚を公開し、ステージに出せる。そしてデッキをシャッフルする。",,,やとみ,/wp-content/images/cardlist/hBP03/hBP03-077_R.png,hBP03-077_R.png;hBP03-077_SR.png,
642,hBP03-078,アユンダ・リス,アユンダ・リス,ホロメン,#ID #ID1期生 #ケモミミ #歌,RR,黄,190,,2nd,◇/◇,ブースターパック「エリートスパーク」,,[黄+◇+◇+青+50]魔法の森のリスの女の子　50+,,,"マジカルサポート
自分の#ID1期生を持つホロメンのエール1枚を、自分の他のホロメンに付け替えられる。",,,ねづみどし,/wp-content/images/cardlist/hBP03/hBP03-078_RR.png,hBP03-078_RR.png;hBP03-078_SR.png;hBP03-078_UR.png,
643,hBP03-079,不知火フレア,不知火フレア,Buzzホロメン,#JP #3期生 #ハーフエルフ,RR,黄,240,,1st,◇/◇,ブースターパック「エリートスパーク」,,[黄+◇]サンライズエール　50+,,,"今日はステキな日
自分のエールデッキから、黄エール1枚を公開し、このホロメンに送る。そしてエールデッキをシャッフルする。",このホロメンがダウンした時、自分のライフ-2,,紅緒,/wp-content/images/cardlist/hBP03/hBP03-079_RR.png,hBP03-079_RR.png;hBP03-079_SR.png;hBP03-079_UR.png,
644,hBP03-080,音乃瀬奏,音乃瀬奏,ホロメン,#DEV_IS #ReGLOSS #歌,C,黄,130,,Debut,◇,ブースターパック「エリートスパーク」,,[◇]ドレミファソラシド～！　20 | [◇+◇+◇]音楽家の卵！ 音乃瀬～奏で～～～す！　50,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP03/hBP03-080_C.png,hBP03-080_C.png;hBP03-080_P.png,
645,hBP03-081,音乃瀬奏,音乃瀬奏,ホロメン,#DEV_IS #ReGLOSS #歌,C,黄,180,,1st,◇/◇,ブースターパック「エリートスパーク」,,[◇]明日は月曜日～っ♪　30,,,,,,ルジエ,/wp-content/images/cardlist/hBP03/hBP03-081_C.png,hBP03-081_C.png;hBP03-081_S.png,
646,hBP03-082,音乃瀬奏,音乃瀬奏,ホロメン,#DEV_IS #ReGLOSS #歌,U,黄,160,,1st,◇,ブースターパック「エリートスパーク」,,[黄+◇+◇]ぷにぷにじゃないっ　60,,,"ここが私のステージだから！
自分のステージのエール1～2枚を、このホロメンに付け替えられる。",,,,/wp-content/images/cardlist/hBP03/hBP03-082_U.png,hBP03-082_S.png;hBP03-082_U.png,
647,hBP03-083,音乃瀬奏,音乃瀬奏,Buzzホロメン,#DEV_IS #ReGLOSS #歌,R,黄,250,,1st,◇/◇,ブースターパック「エリートスパーク」,,[黄+◇+◇+◇]歌姫 音乃瀬奏さん　120,,,"なんちゅーこった
相手のパフォーマンスステップが終了する時、そのパフォーマンスステップに自分のライフが減っていたら、自分のアーカイブのエール1枚をこのホロメンに送れる。",このホロメンがダウンした時、自分のライフ-2,,有芳,/wp-content/images/cardlist/hBP03/hBP03-083_R.png,hBP03-083_R.png;hBP03-083_SR.png,
648,hBP03-084,ゴージャスパソコン,ゴージャスパソコン,サポート・アイテム・LIMITED,,U,,,,,,ブースターパック「エリートスパーク」,"このカードは、自分のホロパワー1枚をアーカイブしなければ使えない。
自分のデッキから、自分の推しホロメンと同色の1stホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
LIMITED：ターンに１枚しか使えない。",,,,,,,六九導イツキ,/wp-content/images/cardlist/hBP03/hBP03-084_U.png,hBP03-084_S.png;hBP03-084_U.png,
649,hBP03-085,スーパーパソコン,スーパーパソコン,サポート・アイテム・LIMITED,,U,,,,,,ブースターパック「エリートスパーク」,"自分のデッキの上から4枚を見る。その中から、[Debutホロメンと1stホロメン]1枚ずつを公開し、公開したホロメンを手札に加える。そして残ったカードを好きな順でデッキの下に戻す。
LIMITED：ターンに１枚しか使えない。",,,,,,,株式会社unieef,/wp-content/images/cardlist/hBP03/hBP03-085_U.png,hBP03-085_S.png;hBP03-085_U.png,
650,hBP03-086,デュアルモニターパソコン,デュアルモニターパソコン,サポート・アイテム・LIMITED,,C,,,,,,ブースターパック「エリートスパーク」,"自分のデッキから、エクストラ「このホロメンはデッキに何枚でも入れられる」を持つDebutホロメン1～2枚を公開し、ステージに出す。そしてデッキをシャッフルする。
LIMITED：ターンに１枚しか使えない。",,,,,,,株式会社unieef,/wp-content/images/cardlist/hBP03/hBP03-086_C.png,hBP03-086_C.png;hBP03-086_S.png,
651,hBP03-087,コールアンドレスポンス,コールアンドレスポンス,サポート・イベント,,C,,,,,,ブースターパック「エリートスパーク」,自分のステージのエール1枚を、自分のホロメンに付け替える。,,,,,,,ちぇりっしゅ,/wp-content/images/cardlist/hBP03/hBP03-087_C.png,hBP03-087_C.png;hBP03-087_S.png,
652,hBP03-088,凸待ち,凸待ち,サポート・イベント・LIMITED,,U,,,,,,ブースターパック「エリートスパーク」|スタートデッキ 推し Justice,"このカードは、自分のライフが相手より少ない時にしか使えない。
相手のコラボホロメンがいない時、相手は、自身のバックホロメン1人をコラボポジションに移動させる（移動はコラボとしては扱わない）。
LIMITED：ターンに１枚しか使えない。",,,,,,,さかなへん,/wp-content/images/cardlist/hBP03/hBP03-088_U.png,hBP03-088_P_1.png;hBP03-088_P_2.png;hBP03-088_P_3.png;hBP03-088_S.png;hBP03-088_U.png,
653,hBP03-089,ファンミーティング,ファンミーティング,サポート・イベント・LIMITED,,U,,,,,,ブースターパック「エリートスパーク」,"自分のデッキから、ファン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
LIMITED：ターンに１枚しか使えない。",,,,,,,さかなへん,/wp-content/images/cardlist/hBP03/hBP03-089_U.png,hBP03-089_S.png;hBP03-089_U.png,
